Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 2, matched_archetype_count: 2, .. }, last_run: Tick { tick: 27747 }, this_run: Tick { tick: 28042 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 11, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 35985 }, this_run: Tick { tick: 36278 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 36278 }, this_run: Tick { tick: 36579 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 36579 }, this_run: Tick { tick: 36873 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 36873 }, this_run: Tick { tick: 37168 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 37168 }, this_run: Tick { tick: 37461 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 37461 }, this_run: Tick { tick: 37753 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 37753 }, this_run: Tick { tick: 38046 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 38046 }, this_run: Tick { tick: 38340 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 38340 }, this_run: Tick { tick: 38632 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 38632 }, this_run: Tick { tick: 38925 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 38925 }, this_run: Tick { tick: 39218 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 39218 }, this_run: Tick { tick: 39512 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 39512 }, this_run: Tick { tick: 39805 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 39805 }, this_run: Tick { tick: 40097 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 40097 }, this_run: Tick { tick: 40390 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 40390 }, this_run: Tick { tick: 40692 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 40692 }, this_run: Tick { tick: 40976 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 40976 }, this_run: Tick { tick: 41276 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 41276 }, this_run: Tick { tick: 41570 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 41570 }, this_run: Tick { tick: 41863 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 41863 }, this_run: Tick { tick: 42155 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
Query { matched_entities: 3, state: QueryState { world_id: WorldId(0), matched_table_count: 3, matched_archetype_count: 3, .. }, last_run: Tick { tick: 42155 }, this_run: Tick { tick: 42449 }, world: World { id: WorldId(0), entity_count: 8, archetype_count: 12, component_count: 347, resource_count: 202 } } reached max count 3
